admin_unit,crime_count,year
SLOVENSKA BISTRICA,1026,2016
SLOVENSKE KONJICE,1019,2016
TOLMIN,218,2016
TRBOVLJE,554,2016
TREBNJE,565,2016
TRŽIČ,499,2016
VELENJE,1825,2016
VRHNIKA,919,2016
ZAGORJE OB SAVI,371,2016
ČRNOMELJ,1159,2016
ŠENTJUR PRI CELJU,580,2016
ŠKOFJA LOKA,716,2016
ŠMARJE PRI JELŠAH,749,2016
ŽALEC,1814,2016
AJDOVŠČINA,547,2017
BREŽICE,1019,2017
CELJE,4034,2017
CERKNICA,412,2017
DOMŽALE,2591,2017
DRAVOGRAD,269,2017
GORNJA RADGONA,1099,2017
GROSUPLJE,1422,2017
HRASTNIK,178,2017
IDRIJA,397,2017
ILIRSKA BISTRICA,1697,2017
IZOLA,686,2017
JESENICE,978,2017
KAMNIK,1183,2017
KOPER,3708,2017
KOČEVJE,1063,2017
KRANJ,3094,2017
KRŠKO,1209,2017
LAŠKO,445,2017
LENART,563,2017
LENDAVA,1273,2017
LITIJA,400,2017
LJUBLJANA,32406,2017
LJUTOMER,412,2017
LOGATEC,470,2017
MARIBOR,6623,2017
METLIKA,264,2017
MOZIRJE,368,2017
MURSKA SOBOTA,2181,2017
NEZNANA OBČ,8590,2017
NEZNANA UE,358,2017
NI PODATKA,796,2017
NOVA GORICA,1895,2017
NOVO MESTO,3208,2017
ORMOŽ,271,2017
PESNICA,380,2017
PIRAN,1338,2017
POSTOJNA,968,2017
PTUJ,2207,2017
RADLJE OB DRAVI,298,2017
RADOVLJICA,1167,2017
RAVNE NA KOROŠKEM,584,2017
RIBNICA,318,2017
RUŠE,295,2017
SEVNICA,424,2017
SEŽANA,1139,2017
SLOVENJ GRADEC,646,2017
SLOVENSKA BISTRICA,1002,2017
SLOVENSKE KONJICE,680,2017
TOLMIN,410,2017
TRBOVLJE,321,2017
TREBNJE,804,2017
TRŽIČ,360,2017
VELENJE,1875,2017
VRHNIKA,610,2017
ZAGORJE OB SAVI,292,2017
ČRNOMELJ,832,2017
ŠENTJUR PRI CELJU,756,2017
ŠKOFJA LOKA,747,2017
ŠMARJE PRI JELŠAH,631,2017
ŽALEC,1438,2017
AJDOVŠČINA,772,2018
BREŽICE,1218,2018
CELJE,3647,2018
CERKNICA,240,2018
DOMŽALE,3361,2018
DRAVOGRAD,193,2018
GORNJA RADGONA,3037,2018
GROSUPLJE,1699,2018
HRASTNIK,160,2018
IDRIJA,370,2018
ILIRSKA BISTRICA,441,2018
IZOLA,587,2018
JESENICE,1225,2018
KAMNIK,1032,2018
KOPER,3201,2018
KOČEVJE,1250,2018
KRANJ,3742,2018
KRŠKO,3219,2018
LAŠKO,641,2018
LENART,683,2018
LENDAVA,968,2018
LITIJA,473,2018
LJUBLJANA,30618,2018
LJUTOMER,552,2018
LOGATEC,510,2018
MARIBOR,7872,2018
METLIKA,400,2018
MOZIRJE,428,2018
MURSKA SOBOTA,1822,2018
NEZNANA OBČ,1270,2018
NEZNANA UE,267,2018
NI PODATKA,1109,2018
NOVA GORICA,2175,2018
NOVO MESTO,3485,2018
ORMOŽ,274,2018
PESNICA,513,2018
PIRAN,1242,2018
POSTOJNA,1086,2018
PTUJ,2399,2018
RADLJE OB DRAVI,299,2018
RADOVLJICA,1088,2018
RAVNE NA KOROŠKEM,631,2018
RIBNICA,409,2018
RUŠE,278,2018
SEVNICA,519,2018
SEŽANA,987,2018
SLOVENJ GRADEC,632,2018
SLOVENSKA BISTRICA,1199,2018
SLOVENSKE KONJICE,717,2018
TOLMIN,425,2018
TRBOVLJE,537,2018
TREBNJE,1174,2018
TRŽIČ,322,2018
VELENJE,1997,2018
VRHNIKA,874,2018
ZAGORJE OB SAVI,299,2018
ČRNOMELJ,900,2018
