municipality_name,year,avg_gross_salary,avg_net_salary,permits_per_1000,median_price_m2,mean_price_m2,transaction_count,median_area_m2,hpi_total
Miklavž na Dravskem polju,2023,1770.39,1187.95,2.7,1024.65,1030.44,18.0,174.5,197.97125000000003
Miklavž na Dravskem polju,2024,1949.83,1271.87,2.8,908.57,1188.9,17.0,156.0,208.204375
Miren - Kostanjevica,2023,1780.47,1198.75,5.5,,,,,197.97125000000003
Miren - Kostanjevica,2024,1912.46,1251.46,2.0,,,,,208.204375
Mirna,2023,2016.77,1347.55,4.8,2143.76,2003.37,25.0,68.0,197.97125000000003
Mirna,2024,2151.17,1396.81,5.4,1583.47,1451.77,9.0,79.8,208.204375
Mirna Peč,2023,1875.56,1262.68,15.9,,,,,197.97125000000003
Mirna Peč,2024,1994.76,1306.78,8.7,1446.14,1742.95,4.0,86.4,208.204375
Mislinja,2023,1673.9,1130.93,4.4,368.05,368.05,2.0,129.5,197.97125000000003
Mislinja,2024,1751.81,1148.57,2.9,705.86,705.86,2.0,41.35,208.204375
Mokronog - Trebelno,2023,1854.74,1253.93,7.7,,,,,197.97125000000003
Mokronog - Trebelno,2024,1912.99,1259.8,5.8,,,,,208.204375
Moravske Toplice,2023,1838.35,1241.32,6.0,1018.63,1238.53,21.0,69.0,197.97125000000003
Moravske Toplice,2024,1946.59,1279.98,9.7,1668.82,1551.25,14.0,47.3,208.204375
Moravče,2023,1834.4,1233.67,2.9,1528.38,1437.41,11.0,156.0,197.97125000000003
Moravče,2024,1983.07,1293.91,1.8,1204.16,1390.63,7.0,116.0,208.204375
Mozirje,2023,1911.22,1266.75,5.7,1458.33,1416.8,13.0,66.0,197.97125000000003
Mozirje,2024,2031.14,1314.8,5.5,1263.16,1331.12,9.0,132.8,208.204375
Murska Sobota,2023,2152.2,1416.68,3.1,1110.16,1089.06,72.0,57.0,197.97125000000003
Murska Sobota,2024,2268.43,1457.9,3.1,1090.34,1151.01,41.0,65.2,208.204375
Muta,2023,2089.18,1380.78,2.1,669.86,760.12,4.0,74.8,197.97125000000003
Muta,2024,2201.84,1417.88,2.1,1250.56,1277.87,6.0,52.35,208.204375
Naklo,2023,2146.67,1406.33,1.8,1035.5,1489.61,8.0,143.05,197.97125000000003
Naklo,2024,2271.13,1458.09,1.8,1267.86,1320.72,3.0,253.6,208.204375
Nazarje,2023,2004.64,1316.78,6.0,1250.0,1158.37,8.0,68.0,197.97125000000003
Nazarje,2024,2225.96,1427.03,3.7,1004.86,1172.92,3.0,61.7,208.204375
Nova Gorica,2023,2190.98,1444.46,1.0,1827.05,1695.74,134.0,75.0,197.97125000000003
Nova Gorica,2024,2310.17,1489.88,1.2,1652.89,1599.66,79.0,81.8,208.204375
Novo mesto,2023,2610.25,1689.96,3.7,1984.96,1795.98,124.0,65.2,197.97125000000003
Novo mesto,2024,2746.81,1736.17,4.0,2326.14,2138.5,93.0,58.0,208.204375
Odranci,2023,1885.06,1273.29,0.6,902.26,692.08,3.0,133.0,197.97125000000003
Odranci,2024,2030.89,1307.96,3.1,,,,,208.204375
Oplotnica,2023,1699.89,1152.06,5.8,658.05,653.63,9.0,85.0,197.97125000000003
Oplotnica,2024,1823.71,1200.36,3.1,607.1,802.4,4.0,239.85,208.204375
Ormož,2023,2010.5,1331.07,1.4,660.13,902.98,32.0,75.5,197.97125000000003
Ormož,2024,2112.87,1365.87,5.1,740.03,772.35,27.0,67.2,208.204375
Pesnica,2023,1870.76,1238.46,3.3,707.78,817.2,12.0,103.8,197.97125000000003
Pesnica,2024,2023.48,1301.45,2.6,633.95,732.87,17.0,174.0,208.204375
Piran/Pirano,2023,1922.95,1279.31,0.2,,,,,197.97125000000003
Piran/Pirano,2024,2039.23,1321.57,0.2,,,,,208.204375
Pivka,2023,2020.35,1344.85,4.1,1021.06,1140.92,14.0,73.0,197.97125000000003
Pivka,2024,2132.14,1381.62,2.6,1505.13,1456.26,7.0,74.4,208.204375
Podlehnik,2023,2263.41,1480.43,1.1,587.98,618.43,4.0,104.0,197.97125000000003
Podlehnik,2024,2288.61,1477.34,4.4,685.04,657.06,4.0,98.5,208.204375
Podvelka,2023,1926.58,1284.91,0.4,701.39,675.18,5.0,76.0,197.97125000000003
Podvelka,2024,2038.68,1327.0,2.2,801.98,801.98,2.0,55.6,208.204375
Podčetrtek,2023,1885.47,1247.59,5.8,875.23,1188.44,24.0,94.3,197.97125000000003
Podčetrtek,2024,1938.07,1247.76,4.4,1093.22,1100.05,12.0,80.9,208.204375
Poljčane,2023,1711.18,1158.55,6.8,402.44,714.09,13.0,80.1,197.97125000000003
Poljčane,2024,1840.55,1209.61,5.7,536.1,622.28,7.0,103.3,208.204375
Polzela,2023,1907.79,1279.5,6.1,1711.9,1588.49,14.0,73.05,197.97125000000003
Polzela,2024,2074.84,1346.33,4.0,1875.47,1958.81,14.0,82.30000000000001,208.204375
Postojna,2023,2022.98,1343.8,2.4,2130.91,1973.72,54.0,67.25,197.97125000000003
Postojna,2024,2114.34,1372.75,1.6,2074.11,1865.7,40.0,65.7,208.204375
Prebold,2023,1864.09,1249.72,4.1,1532.62,1600.44,14.0,41.5,197.97125000000003
Prebold,2024,2009.79,1310.76,4.2,2297.09,1979.94,9.0,65.3,208.204375
Preddvor,2023,1958.91,1307.89,3.9,1733.56,1705.64,12.0,118.15,197.97125000000003
Preddvor,2024,2047.56,1335.46,4.8,1525.42,1595.36,9.0,214.0,208.204375
Prevalje,2023,2046.91,1351.4,1.0,1223.84,1162.26,32.0,59.5,197.97125000000003
Prevalje,2024,2149.94,1386.47,0.3,900.32,1068.47,9.0,62.9,208.204375
Ptuj,2023,1934.88,1276.48,3.0,1291.67,1318.03,99.0,69.0,197.97125000000003
Ptuj,2024,2183.08,1396.07,3.2,1617.36,1519.72,97.0,80.0,208.204375
Puconci,2023,2195.77,1443.2,4.6,586.09,517.28,6.0,97.5,197.97125000000003
Puconci,2024,2318.32,1490.6,6.6,620.34,669.31,4.0,104.94999999999999,208.204375
Radenci,2023,1983.43,1318.42,8.5,962.77,966.08,27.0,77.9,197.97125000000003
Radenci,2024,2120.59,1374.24,7.1,818.46,855.09,11.0,57.8,208.204375
Radeče,2023,1995.13,1320.67,3.4,931.37,989.34,16.0,60.0,197.97125000000003
Radeče,2024,2116.65,1367.29,1.7,829.88,982.98,11.0,66.3,208.204375
Radlje ob Dravi,2023,2060.18,1361.48,2.4,925.93,912.76,17.0,54.0,197.97125000000003
Radlje ob Dravi,2024,2178.08,1406.14,1.4,738.12,896.96,5.0,180.0,208.204375
Radovljica,2023,2074.57,1368.19,2.1,2088.68,2030.75,52.0,65.5,197.97125000000003
Radovljica,2024,2176.67,1402.74,2.3,2799.38,2683.58,45.0,65.3,208.204375
Ravne na Koroškem,2023,2218.79,1449.94,1.3,1366.67,1353.33,61.0,62.9,197.97125000000003
Ravne na Koroškem,2024,2326.09,1489.76,1.7,1479.29,1383.87,25.0,61.8,208.204375
Razkrižje,2023,1874.68,1267.55,3.2,297.78,297.78,1.0,184.7,197.97125000000003
Razkrižje,2024,1943.04,1277.36,2.4,,,,,208.204375
Rače - Fram,2023,1886.16,1253.26,5.5,,,,,197.97125000000003
Rače - Fram,2024,1978.33,1285.73,8.7,,,,,208.204375
Renče - Vogrsko,2023,1992.57,1322.51,1.8,,,,,197.97125000000003
Renče - Vogrsko,2024,2112.38,1365.91,3.0,,,,,208.204375
Rečica ob Savinji,2023,1658.02,1121.25,2.1,487.02,618.17,6.0,82.5,197.97125000000003
Rečica ob Savinji,2024,1806.23,1185.53,7.8,1470.59,1470.59,1.0,40.8,208.204375
Ribnica,2023,2100.78,1384.97,4.3,852.02,964.67,18.0,102.1,197.97125000000003
Ribnica,2024,2197.75,1416.57,4.7,1602.72,1360.4,12.0,110.45,208.204375
Ribnica na Pohorju,2023,1944.47,1297.9,5.5,268.7,268.7,1.0,223.3,197.97125000000003
Ribnica na Pohorju,2024,2044.37,1330.81,1.8,528.46,676.41,3.0,153.0,208.204375
Rogatec,2023,1803.6,1199.04,4.3,743.49,690.72,9.0,67.3,197.97125000000003
Rogatec,2024,1933.75,1251.44,4.9,1100.92,1276.28,7.0,50.2,208.204375
Rogaška Slatina,2023,1869.74,1239.92,3.4,1123.6,1070.9,47.0,62.5,197.97125000000003
Rogaška Slatina,2024,2010.41,1298.28,4.6,1273.76,1208.89,26.0,62.05,208.204375
Rogašovci,2023,1898.6,1266.19,4.8,736.84,736.84,2.0,51.5,197.97125000000003
Rogašovci,2024,1969.15,1279.78,5.5,,,,,208.204375
Ruše,2023,2175.82,1424.33,3.1,1387.51,1349.23,38.0,57.5,197.97125000000003
Ruše,2024,2313.62,1483.59,2.2,1424.05,1443.29,29.0,64.2,208.204375
SLOVENIJA,2023,2254.86,1470.08,2.8,,,,,197.97125000000003
SLOVENIJA,2024,2394.92,1526.02,2.8,,,,,208.204375
Selnica ob Dravi,2023,1724.84,1157.24,1.8,776.77,807.51,10.0,194.55,197.97125000000003
Selnica ob Dravi,2024,1806.06,1174.06,3.4,895.38,976.9,13.0,89.8,208.204375
Semič,2023,1798.01,1212.27,4.7,426.14,556.03,11.0,91.0,197.97125000000003
Semič,2024,1920.35,1269.01,5.8,732.4,686.97,8.0,82.45,208.204375
Sevnica,2023,2025.14,1339.98,4.5,983.05,1076.7,43.0,65.0,197.97125000000003
Sevnica,2024,2145.07,1386.39,6.3,649.48,773.17,22.0,85.7,208.204375
Sežana,2023,2010.4,1331.1,1.8,1701.62,1609.88,52.0,75.0,197.97125000000003
Sežana,2024,2103.71,1359.79,2.3,1651.98,1745.42,31.0,76.1,208.204375
Slovenj Gradec,2023,2113.76,1386.48,3.6,1395.44,1331.03,50.0,61.0,197.97125000000003
Slovenj Gradec,2024,2228.95,1428.11,4.3,1580.59,1473.34,22.0,68.2,208.204375
